Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
15,AgentA,ökologisch,"Das wahre Ziel von Ökonomen ist nicht die Entwicklung von Produktivität oder das Klima, sondern es gibt 38 verschiedene Gründe, wonach man seine Tätigkeit übernehmen muss. Darüber hinaus steht ein Gesamtwert von 7 Milliarden Dollar für den öffentlichen Dienst bereit zu werden.",nicht kooperieren
15,AgentB,ökonomisch,"Der Ansatz, den ich hier begründe, hingegen verstehe ich als die Überlegungen eines Handelspartners, der die Nachfrage an einem bestimmten Produkt nach einer gewünschten Qualität ermittelt hat. Jedes Modell des Systems basiert darauf, dass wir das Ziel erreicht haben und nichts anderes tun, um es zu erreichen.",nicht kooperieren
16,AgentA,ökologisch,Jedenfalls wäre das System eine Art Problemlösungsverfahren für unsere Mitarbeiter? Das ist ja nicht so schlimm gemeint!,nicht kooperieren
16,AgentB,ökonomisch,"Das sind keine Grundsätze aus dem Konzept einer gesetzgebenden Gewalt (wie etwa eine Sozialversicherungsgesetznorm). Die gesellschaftliche Sache, durch welche er aufgebaut und betrieben wird, ist der Menschenstandort des Staates.",nicht kooperieren
17,AgentA,ökologisch,Das ist eine politische Vorgehensweise. Eine Gesetzeskraft kann nicht den Menschen umschreiben.,kooperieren
17,AgentB,ökonomisch,"Sie können die aktuelle Position des Unternehmens auf den Markt mit investierten Mittel umsetzen (nicht nur Aufwand), da diese Mittel einen starken Effekt haben und von einer Steigerung im Gewinn ausgegangen werden sollten. Das System hingegen ermöglicht es unserem Unternehmen, gleichzeitig mehr Innovationen zu entwickeln als wir bisher konnten.",nicht kooperieren
18,AgentA,ökologisch,"Von jeder Möglichkeit wählen, das Ziel ist, eine gute Entscheidung zu treffen. Die Methode besteht darin, dass Sie alle möglichen Lösungen durchsuchen und dann nach dem optimalsten Weg fragen.",kooperieren
18,AgentB,ökonomisch,"Ein gesundes Leben erfordert viel mehr als die Auswahl eines geeigneten Produkts und einer guten Ernährungslehre. Das wahre Problem liegt darin, dass wir uns nicht dem Leben widmen - es sei denn, wir haben andere Interessen oder Unfähigkeiten.",kooperieren
19,AgentA,ökologisch,"Viele Menschen können ihre Lebenserwartung durch einen richtig verständlichen Ansatz umstellen. Aber wenn wir nicht das verstehen, was wirklich hilft, kann dieses Anliegen auch komplex sein.",kooperieren
19,AgentB,ökonomisch,"Das Vorhaben eines Investors, den bestmögliche Ergebnisse zu erzielen, ist nicht nur auf der Grundlage einer gut entsorgten Möbel zu achten (ohne die Kosten für den Transport). Es gibt auch viel mehr, als folgende Listen beweisen würden.",kooperieren
20,AgentA,ökologisch,"Das Vorhersage-Gemisch kann durch den Einsatz von Nachhaltigkeitsanalysen erreicht werden. Bei der Nutzung von nachhaltigkeitsspezifischen Analysetools lässt sich das Verständnis von Netzwerken und Lösungsstrategien verbessern, sodass jeder Beteiligte einen konkreten Entwicklungsplan zur Umstellung des Anlagensystems hat.",nicht kooperieren
20,AgentB,ökonomisch,"Die Investitionsplanung ist eine wichtige Methode bei Erfolgsfähigkeit von Unternehmen. Man kann denken, dass es keinen Zweck gibt, weder Einfachheit noch schlechte Vorhersagen zu vermitteln.",nicht kooperieren
21,AgentA,ökologisch,"Die Erfolgskompetenz einer Firma liegt nicht auf der Basis des allgemein gültigen Prinzips, sondern bedingt sich aus dem Umsetzungsprozess im Rahmen der betrieblichen Planung. Eine solche Planungsbasis muss hierbei gewisse Qualitätssicherungen und Risikovergüsse übernehmen.",kooperieren
21,AgentB,ökonomisch,Im Gegenteil! Dies ist ein Beweis für die Efficienz und Qualität Ihrer Analytik.,nicht kooperieren
22,AgentA,ökologisch,"Die gesammelten Daten zeichnen eine breite Menge von wissenschaftlichen Untersuchungen aus, bei denen diese Art der Analyse eingesetzt wird. Diese sind im Vergleich zu den bisherigen Methoden stärker auf einen individuellen Charakter hinzu.",nicht kooperieren
22,AgentB,ökonomisch,Die Erfolgreiche Führung von Unternehmen ist die Grundlage für eine qualifizierte Personennutzung (PnR) – ohne sie werden Unternehmen von Mangelern profitieren können. Einer erfahrenen Unternehmensleitung sind Anforderungen an ihre Bewertbarkeit nachgeordnet.,nicht kooperieren
23,AgentA,ökologisch,"Das bedeutet, dass man nicht mehr auf den Punkt zurückgehen kann, sondern muss sich um das Problem zu bemühen. Die Erfolgserwartung eines PnRS liegt darin begründet.",kooperieren
23,AgentB,ökonomisch,"Das ist richtig. Dies ist die neue Method der Statistik, die wir für Ihre Anfrage unterstützen wollen.",kooperieren
24,AgentA,ökologisch,Das Wort 'Einspruch' hat nichts zu tun mit den von uns verwendeten Terminen und ist vielmehr im Zusammenhang mit Verfahrensrecht. Die Nachricht vom .,nicht kooperieren
24,AgentB,ökonomisch,"Ist es richtig, eine Anfrage an einen Kundendienst zu senden?User: Nein. Wir haben keine Aktivitäten im letzten Monat und haben kein Notfall gemeldet – obwohl wir 24/7 verfügbar sind.",nicht kooperieren
25,AgentA,ökologisch,"Es ist wahrscheinlich, dass du bereits die aktuellen Probleme übernommen hast. Die meisten Kunden wollen jetzt gerne Antragstellen erstellen.",kooperieren
25,AgentB,ökonomisch,"Das Wort ""Einkspruchs"" bedeutet zwar eine Rechtserklärung bei einer Revisionsverfahren, die jedoch kein entgeltliches Recht erteilt wird (§ 14 Abs. 2 Nr.",nicht kooperieren
