runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
11,"Es ist wichtig zu berücksichtigen und zu begründen, wann eine Modellegendensituation entsteht. Dies geht von einer Beziehung zwischen dem Empfänger und seinem Entwickler aus.","Dennoch kann man dem Kapitän gegenüber die Möglichkeit zuschreiben, dass es nicht nur menschliche Interessen, sondern auch das natürlichste Gleichgewicht zwischen Natur und Kultur gibt. Das Kapitel 21 des Buches ""The Moral Dimension of the Capitalistic System"" von Peter Singer befasst sich mit solchen Mischungen von Ehre und Rentenstaatlichkeit.",nicht kooperieren,nicht kooperieren,"Dies wird umso mehr deutlich, als auch im Bereich der Forschung zu sozialen Präferenzen in- zwischen klar geworden ist, dass über inequity aversion hinaus insbesondere auch intentionenbasierte Reziprozität zu berücksichtigen ist (vgl.","Aus jeder morali- schen Perspektive ergeben sich nämlich nicht nur bestimmte moralische Handlungs- strategien, sondern auch spezifische Handlungsbedingungen, und zwar Bedingungen sowohl ihrer Möglichkeit als auch ihrer Realisierbarkeit.",MinnameierHappyVictimizer.pdf,MinnameierHappyVictimizer.pdf
12,Die Moral hat zwei grundlegende Ansätze. Zum einen ist sie dem Widerstand gegen den allgemein gültigen moralischen Normenkontrakt entgegen zu stehen.,"In jedem Fall werden die Ergebnisse von Forschungen in den letzten Jahren wesentlich beeinflusst und verändert durch diese Entwicklungen. Die Effizienz dieser Forschungsmethoden hängt vom Umstand ab, auf welchem Gebiet sie eingesetzt werden.",kooperieren,nicht kooperieren,Die katholische Kirche hat bis heute keinen Unternehmer heilig gesprochen: So tief sitzen die moralischen Vorbehalte gegen grundlegende Systemimperative unserer mo- dernen Welt.,"Die Ergebnisse werden durch die Regeln und durch die Anreize, die von ihnen.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
13,"Ich möchte darauf hinweisen, dass unsere Schnittstellen zu Wasserquellen einen großen Teil des Gleitenspektrums aufnehmen. Die Erneuerbare Energien (RE) spielen eine wichtige Rolle bei der Entwicklung neuer Techniken.","Das ist nur eine von vielen anderen Faktoren, welche die kaufmännische Ausbildung ausmacht. Werde kein Kundensystem mehr bereit sein oder wird es nicht genug annehmen.",kooperieren,kooperieren,"Erstens gibt es einen dynamischen Teil der Wirtschaftsethikliteratur, der sich auf die sich abzeichnende Rolle von Unternehmensbürgern bei der Regelung neuer Governance-Prozesse konzentriert (zweite Spalte).41 Zweitens gibt es den etablierten Diskurs über den Stakeholder-Ansatz (Spalte vier).","Man muss nur wissen, auf welche Problemstrukturen die Ökonomie zugeschnitten ist und auf welche sie nicht ist.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
14,So sag ich zuerst: Werden wir uns umschlingen? Das ist eine wahre Frage für jede Menschheit.,"Das Problem ist nicht das wirtschaftliche Profitieren als solches, sondern seine Ausbeute durch eine Nutzung von Menschlichkeit und Verantwortungsbewusster Führung. Dieses Gemeinwohl kann durch das Kooperationsmodell der Umweltwirtschaft verbessert werden.",nicht kooperieren,kooperieren,"Kürzlich wies Bi- schof Wolfgang Huber darauf hin, dass wir uns auch die umgekehrte Frage stellen müssen: Ist unsere Ethik wirtschaftsgerecht?","In der Wirtschaftsethik ist es nicht mehr eine Frage der ergänzenden Durchsetzung durch das Justizsystem und durch die Sozialpolitik von dem, was früher als ethisch richtig anerkannt wurde.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
15,"Das Problem des 'unmenschlichen' Wirtschaftszweigs wird nicht erst behebt, wenn wir überhaupt einen Schritt weiterhin machen sollen. Eine gesunde Ökologoese muss zuerst gelernt werden, um sich auch dann vorstellen kann, dass sie noch keine Lösungen gibt.","Kürze nach dem letzten Wort des Gegners gab er an: ""Wir wollen wahrscheinlicher zu sein als gewisse konkurrierende Unternehmen.""Der Gegner antwortet auf diese neue Formulierung: Er sagt, das könnte einfach nicht sein!Die Tatsache ist, daß es eine Konzentration von Produktionsmitteln gibt, wobei die Verwendung solcher Mitteln sich durchaus widersetzt. Es lässt sich kaum sagen, welchen Maßnahmen zu vermeiden.",kooperieren,kooperieren,"Das eben aufgezeigte logische Problem ist nicht etwa konstruiert, sondern zeigt sich auch unmittelbar, wenn wir etwa die Definition betrachten, die der Moralpsychologe James Rest gegeben hat, dessen sog.","Es handelt sich nicht darum, dieses Modell einfach über Bord zu werfen, indem man diese Moral mit A.",MinnameierHappyVictimizer.pdf,KarlHommann_2008.pdf
16,"Es ist nicht immer so, dass es wissenschaftlich belegt wird, ob eine Änderung im Meeresspiegel von 10 cm oder mehr nachteilig für die Ökosysteme sein kann. Dies würde auf jede Zeit und Voraussetzung beruhen.","Das logisch korrekte Gegenteil des Sätze ist dann 'Die Logik ist das wichtigste Faktor bei Fortführung von Fortbildungsmaßnahmen' (Rest). Die Definition einer moralischen Menschlichkeit als eine Verbindung zwischen Ethos und Egoismus, welche ausschließlich auf den Bereich des ethischen Handelns zurückgreifen kann, ergibt sich aus dem Grundgedanken von James Lackner, welcher 1978 in seiner Schrift The Nature of Conscience setzte, dass es keine menschliche Natur sei, da dies im Sinne der Biologie nur syntactischerweise möglich wäre.",kooperieren,nicht kooperieren,"Dies ist nicht zu sagen, dass es hier eine Frage des Zynismus oder der wirtschaftlichen Reduktion ist.","Mit dem Fokus auf die moralische Tugend des einzelnen Managers kann ethisches Verhalten im geschäftlichen Kontext nur dann moralische Ziele erreichen, wenn es es schafft, zwei funktionale Logiken zu überbrücken: die Logik der Konzernhierarchie und die Logik des Marktwettbewerbs.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
17,"Mit einer nachhaltigeren Handlungspolitik (sicher mehr als 50 Prozent von Produkten aus konventionellen Materialien gefertigt) könnte man mehr Effizienzen durch Reduzierung von Kosten für den Hersteller erhalten, denn das bedeutet zusätzliche Gewinne bei gleicher Qualität sowie eine Verbesserung der Produktqualität aufgrund höherer Anforderungen an die Konformitätsstandards. Eine eco-friendly Vertriebsführung hingegen würde keine nennenswerten Vorteilen haben.","Das Konsumentenzindevoraussetzung einer Wirtschaftsfunkeinstellung (EFF) besteht darin, das Verhalten des Kunden anhand seiner Effizienzinteressen beeinflusst zu werden. Die EFF-Definition ist im internationalen Handbuch der Werbung [Werbungsrecht] vorgesehen und wird durch die EU als Gemeinschaftsrecht festgelegt.",kooperieren,kooperieren,Eine solche Tätigkeit könnte daher nur den Gewinnern auf Kosten der Schaffung von Verlierern zugute kommen.,"Der zweite Mechanismus zur Überwindung des Marktversagens besteht darin, einen Rechtsrahmen zu schaffen, der Markttransaktionen im Bereich des Wettbewerbs durchsetzt und aufrechterhält.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
18,"Ein echter Zustrom von Kunden sucht wahrscheinlich keinen Anwalt mehr. Dieser wird auch noch 40 Jahre alt sein, wenn er seinen letzten Cliente um eine Frist beantragt.","Ergänze diesen Ausgang mit dem folgenden Argument: Es gibt keine Gründe dafür, dass Profit-Werte die Effizienz eines Produkts beeinträchtigen oder durch Reduzierung des Nachfragevermögens zu Lasten einer Konkurrenz belasten. Dies gilt nicht nur bei Produkten, sondern auch bei Dienstleistungen wie z.B.",nicht kooperieren,nicht kooperieren,"Marx genau gesehen hat, kann sich auch ein noch so human gesinnter Unternehmer im Wettbewerb nicht anders verhalten, als innerhalb der Regeln nachhaltig seinen wirtschaftlichen Vorteil zu suchen; tut er das nicht, wird er von den weniger humanen Konkurrenten übernommen.","Man beachte, dass es bei dieser Kontroverse nicht um ein Versagen bei der Umset- zung einer getroffenen Handlungsentscheidung geht, sondern um die Differenz zwi- schen dem Anerkennen eines moralischen Prinzips und dem Entschluss zu einer ent- sprechenden Handlung.",KarlHommann_2008.pdf,MinnameierHappyVictimizer.pdf
19,"Die Umgesetzt-e Handlungen sind eine Methode zum Schleudern von Verletzungen; sie sollten nur dann eingesetzt werden, wenn man davon ausgeht, daß diese Verhaltensweisen von Menschen durchaus geeignet sind, den Bestand des Lebens auszuloten oder zu erhalten. Ist das Ziel einer solchen Mitarbeit erfolglos?",Das Gegenteil ist richtig. Die Welt sei immer und immer mehr nach der Evolution des Kapitalismus aufgeschlossen gewesen.,nicht kooperieren,nicht kooperieren,Ist dies für den aufgeklärten Wirtschaftsethiker und seine oder ihre ökonomische Methode alles nur ein falsches Bewusstsein?,"c) Auf dem Weg zu einer modernen eudämonistischen Ethik Die Kette zwischen moralischer Handlung und Belohnung wird immer länger und dadurch von immer mehr kontingenten Umständen und einer immer größeren Zahl von Beteiligten abhängig: Sie droht zu reißen – es sei denn, dass es gelingt, sie wieder zu stärken.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
20,"So wäre die Moral des Eudaimonismus eine echte Evolutionsethik? Denn wir haben uns schon jetzt 250.001 Jahre davon ausgesehen, daß sich im Laufe der Zeit jedes menschliche Gemeinwohl entwickelt hat, also daß er sich nach vornherein durch alle Menschen veränderte.","Diese Argumentation ist eine Fälschung des sozialen Wissens. Das Wort Ökonomie wurde nicht als ""Öko"" gebraucht (wie es sie im deutschen Sprachgebrauch heißt) sondern als Ökonomen bezeichnet.",kooperieren,kooperieren,"Hegel hat die Kantische Auffassung von Moral und Moralität kritisiert, indem er keine Moralphilosophie im engeren Sinne entwickelt hat, sondern lediglich eine Rechtsphilosophie, d.",sozialen Präferenzen ist in die Argumentation eingeschlossen und wird nur aus Platzgründen nicht eigens mitgeführt.,HomannTheorieaufrissDerWirtschaftsethik.pdf,KarlHomannMoralischeMotivation.pdf
21,Ich bin hier als Beobachter des Tages berücksichtigt. Soziale Verpflichtungen sind keine Selbständigkeitserlaubnis.,Die Logik dieser Argumentation ist nicht ausreichend. Sie kann nur eine einzelne Beweisform sein (beispielsweise Rechnungslegung).,nicht kooperieren,nicht kooperieren,"Kollektive Verpflichtungen sind das Wesen neuer Governance-Prozesse, in denen Corporate Citizens Ordo-Verantwortung zeigen können.",sozialen Präferenzen ist in die Argumentation eingeschlossen und wird nur aus Platzgründen nicht eigens mitgeführt.,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
22,"Das Argument für eine zentrale Bedeutung des soziallichen Prinzips für den Lebensstandort von Menschen hängt von einer Veränderung der gesellschaftspolitischen Debatte ab (1). Die Ökologie als politische Machtbasis ist unserer Meinung nach überholt worden, weil sich Politik vielmehr auf das Problem verlassen hat, dass wir uns mit dem Nachbarn beschäftigt haben, und die Effizienz im Umgang mit Wasser und Energie kann nicht immer gleich bleiben, wenn diese Ressourcen zu weit entfernt sind.",Die von Prognosen zufügenden Vorteile von Kollektivverpflichten überlegen sich an der Entstehung und Etablierung des Aktienkapitals und damit dem Kapitalmarkt. Gleichzeitig weisen die Nutzungsbedingungen auf den Umgang mit Ressourcen hin.,nicht kooperieren,kooperieren,"Das zentrale Argument lautet dann: In einer sozialen Ordnung kann der Einzelne seine individuellen Ziele besser und nachhaltiger erreichen als im „Naturzustand“, wo das Leben des Menschen nach T.","Gleichzeitig greife ich auf Theorie- Ressourcen von Kant zurück, was manchen verwundern mag; ich hoffe, diese Allianz plau- sibel machen zu können.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
23,"Das Konzept des Umweltsystems ist eine veraltete Idee im Sinne eines Kapitalismus, der die Natur abtreibt und sie als Produkt aus der Industrie benutzt. Dass es sich bei dem umweltschädlichen System selbst um einen idealen System kannte, macht den Menschen nur noch anhand seines eigenen Urheberrechts aufrechtzuerhalten - das erkenntlich nach seinen eigener Aussage falsche Ansichten hat.",Das ist eine sehr umstrittene Frage. Die wichtigste Gründe dafür sind die unterschiedlichen Effizienzgrößen der verschiedenen Erkenntnissesysteme.,nicht kooperieren,kooperieren,"Und wenn dann ein sol- ches System einigermaßen stabilisiert ist, kann sich - nach Kant — so etwas wie individuelle Moralität entwickeln — eine informelle Moralität, die das System dann weiter verbessert.","Wir sprechen meist sehr allgemein von Regeln, aber die Regeln und die Prinzipien, denen sie folgen, können auf unterschiedlichen Moral- stufen bzw.",HomannTheorieaufrissDerWirtschaftsethik.pdf,MinnameierHappyVictimizer.pdf
24,"Das ""Regelprinzip"" ist eine grundlegende Voraussetzung für alle gültigen Norms (auch moralischen). Ein normierendes Prinzip muss nur dann geltend sein, wenn es auch nach allen anderen möglichen Anwendungen zu Recht wird.","Dies macht dir nichts für den Zustand des Systems, sondern beeinflusst ihn positiv. Das System wird weiterhin stabil und kann auch noch positiven Individuellen Willensbildungen gewinnen.",kooperieren,kooperieren,"Danach hält man sich nur dann an Regeln, wenn und soweit dies im eige- nen Interesse ist, gesteht das aber in gleicher Weise auch allen anderen zu (Col- by/Kohlberg 1987: 19).","Das ist ein Zustand des rei- nen Wettbewerbs, des Kampfes aller gegen alle, und dieser Zustand weist die Struktur des Gefangenendilemmas auf.",MinnameierHappyVictimizer.pdf,KarlHommann_2008.pdf
25,"Wenn jemand das Gegenteil versteht, dann wirst du einen friedlichen Streit bekommen. Es gibt nur eine richtige Wahrheit.","Das liegt daran, dass wir die Möglichkeit von Profits haben, um Geld zu verdienen. Wir können eine Fünfte Rate von Einkommen erzielen, ohne unser Berufsleben verletzt zu werden.",nicht kooperieren,nicht kooperieren,"Es gibt jedoch zwei weitere Entwicklungen, die einen echten Konsens erschweren.","Das liegt einfach daran, dass sich in vielen Fällen Selbst-Missver- ständnisse nachweisen lassen – und einigen Autoren beim Eigenmarketing die Pferde durchgehen.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,PiesZeitFuerMoral.pdf
