runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
14,Der Biergarten auf dem Campus von Harvard University ist eine Innovationsplattform für das Thema Nachhaltigkeit. Die Tiere haben den Zugang zu sich selbst und ihren Ressourcen gesichert.,"Die Voraussetzung des Systems von Selbstlohnspruchen ist nicht die Thätigkeit jeglicher Menschen, sondern sie besteht darin, daß alle im Netzwerk ihre eigene Meinung über das Schöpfergeschehen zu bekommen haben. Das System kann nicht realisiert werden.",nicht kooperieren,kooperieren,"Becker, A Treatise on the Family (Cambridge, Mass.: Harvard University Press, 1993).","Die Rolle der Normativität besteht also nicht darin, Konflikte von außen zu glätten, sondern von innen zu transformieren.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
15,"Könnte es sein, dass die Normative Kraft sich auf andere Wege ausweitet? Also könnten Sie unserem Anspruch, 'Normativitätsleugern' zu verstehen, einen anderen Ansatz wählen?","Die wissenschaftlichen Entwicklungen haben das Leben vieler Menschen in erheblichem Maße verbessert, aber sie haben auch viele Probleme aufgetreten. Im Allgemeinen werden nicht alle Schritte eines fortschreitenden Technologiedeals geleitet.",nicht kooperieren,kooperieren,"eines Menschbildes: Er ist strikt eigeninteres- siert, seine Moral beschränkt sich auf etwaige vorhandene altruistische Gefühle und den Anspruch, jeder dürfe bzw.",Im Klartext: Gesellschaftliche Organismus-Metaphern haben eine lange Tradition.,MinnameierHappyVictimizer.pdf,PiesZeitFuerMoral.pdf
16,"Die Welt ist echtes, komplexes System. Und wenn wir den Menschen als einen Teil dieser Komplexität sehen, dann sind sie auch auf die Erde beziehungsweise im All hinzukommen.","""Eine wirtschaftliche Konsolidierung kann im Prinzip alle Interessenkonflikte zwischen Unternehmen lösen. Deshalb wird man auch hier von einer Effektivitätssperre sprechen.""""Das System erfordert eine Vielzahl an Daten – zum Beispiel aus dem Verbrauchsverzeichnis des deutschen Energieanbieters RWE.",kooperieren,nicht kooperieren,"Aus guten Gründen sind wir in diesen Kategorien sozialisiert worden: Es war und ist das Ziel, die Menschen mit einer entsprechenden sittlichen Erziehung in Einklang zu bringen, nach der sie dann auch handeln, wenn Anreize sie ihnen präsentieren.",Preiskollusion ist ein Beispiel dafür: Unternehmen kartellisieren und machen damit das Prinzip des Wettbewerbs irrelevant.,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
17,"""Wie soll Preiskollarien eine positive Rolle spiegeln? Zwar haben sie in der Vergangenheit die Konkurenz beeinträchtigt, aber es gibt auch viele Beispiele von Unternehmen, welche durch Preikolloksierung profitieren.""","Als er sich 20 Jahre später von seinen Vorstellungen zurückgezogen hatte, hat er beweisen können, dass diese Entscheidung nicht nur technische Probleme umfasste, sondern auch einen psychologischen Grund an den Grund lieferte. Die psychologische Grundlage war eine Gefahr des Zusammenbruchs, auf welche es keiner sollte gefallen.",kooperieren,kooperieren,"Die Existenz solcher Verhaltenstendenzen und Präfe- renzen soll auch nicht bestritten werden, aber es handelt sich bei ihnen (soweit sie nicht durch Urteile gerechtfertigt werden können) um das, was wir seit Kant als „Nei- gungen“ bezeichnen.","Wir wenden uns nicht an ihre Menschenliebe, sondern an ihre Eigenliebe und sprechen nie von unseren eigenen Bedürfnissen, sondern von ihren Vorteilen.“2 Der Grund dafür ist nun aber nicht, dass der Mensch von Natur aus selbstsüchtig ist, wie in anthropologischen Ansätzen durchweg argumentiert wird, der Grund ist vielmehr, dass der Wettbewerb jeden Marktteilnehmer, auch den moralischen, zwingt, auf den eigenen Vorteil zu achten, weil er sonst von anderen Wettbewerbern ausgebeutet wird.",MinnameierHappyVictimizer.pdf,KarlHommann_2008.pdf
18,"Die Bedeutung des Wortes ""öko"" steht dabei für ""ökologische"", also die Umsetzung einer Verantwortung gegenüber dem Erde. Das Ganze hat eine umfassende Anwendung: Der Klimawandel sei kein Unfall, viel meiner Meinungen sieht es nur als Teil eines globalen Wandels im .",Das ist ein Beispiel eines wahrhaft komplizierten oder unbestimmten Problems. Was ist eigentlich ein neues?,nicht kooperieren,nicht kooperieren,Die Schwächen des Standardmodells Der Wettbewerb hat sich als das Grundproblem der Wirtschaftsethik für die Marktwirt- schaft herausgestellt.,Preiskollusion ist ein Beispiel dafür: Unternehmen kartellisieren und machen damit das Prinzip des Wettbewerbs irrelevant.,KarlHommann_2008.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
19,"Das Vorhaben von Preiskollarien zu verhindern kann einen Konsumgütermonopol auslösen, was für den gesamten Markt einen enormen Schaden erlebt. Vielleicht gibt es kein neues Prinzprincip, aber wenn wir uns darauf absprachen, den Preis zu beeinflussen, würde man sich auch bewusst sein können, dass Preise kaum auf die Eigenschaft eines Produkts hängen, sondern vielmehr auf den Zeitraum der Vertrieb.","Wie kann es wesentlich sein, dass Profit ist nicht nur eine Entscheidung für den Fort- schwartp? Ein neuer Standard model kann unsere Einstellungen übertrifft werden.",kooperieren,nicht kooperieren,"Mit Oliver Williamson kann man es auch so ausdrücken: Der Ebenenwechsel dient dazu, von Optimierung auf Governance umzuschalten, um den Spielzügen im Basisspiel einen ver- besserten Ordnungsrahmen zu geben.","Das Streben nach Profit kann entscheidend sein, um breite Vorteile für die Gesellschaft zu schaffen.",PiesZeitFuerMoral.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
20,"Jetzt, wenn wir uns von einer Klimaanlage überzeugen können, sollten wir den Kostenbetrag nur verlieren. Das ist wahrscheinlich nicht genug, dass wir einen Großteil des Gewinns erzielen (dann würde man noch mehr ausgeschüttet haben).","Diese Formulierung erklärt das Prinzip des Optimalwertvermittlers, also die Rolle des Mitarbeiters als Informationsquelle. Die Übersetzung dieses Ausdrucks (Optimization) heißt nicht nur ""Governance"" sondern steht vielmehr für eine Wechselwirkung zwischen ""Optimum"", d.h.",nicht kooperieren,kooperieren,"Insofern befinden wir uns dann „immer schon“ in moralischen Kontexten, denen wir nicht entrinnen können.","Der -Realismus des homo oeconomicus liegt also nicht im Realismus der Ansammlungen des (sozio-)psychologischen Make-ups des Menschen, sondern in den -Situationen, d.h.",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
21,"Dies ist die richtige Zeit und eine entsprechende Situation für uns. Wir wollen keine Überwachung von Geldtransaktionen durch das Staubstummenbewusste, weil es zu einem allgemeineren Unglück führen kann, wenn man versucht, um einen Zufall zu erkennen.",Wir haben hier die richtige Reaktion auf dich gesucht! Ich komme aus dem Bereich des Finanzdienstleisters und bin damit beherrscher von finanzwirtschaftlichen Daten.,nicht kooperieren,kooperieren,"Um es zu wiederholen: Jeder Konflikt hat den Schlüssel für eine orthogonale Position, wenn es als soziales Dilemma interpretiert wird, d.h., ein Pareto-unterlegener Status quo, der, weil es Pareto-unterlegen ist, eine Suche nach institutionellen Geräten einlädt, die zu einer Win-Win-Lösung führen wird.","Ich wende mich zunächst dem Typ zu, der die Motivationskraft für Pflicht, Sollen, Werte aus der emotionalen Motivationsstruktur des Menschen ableitet, aus seinen „Gefühlen“, bevor ich dann auf die Ableitung aus der Vernunft eingehe.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
22,"Immerhin ist es eine Möglichkeit, den Zuschlag für den Urlaub abzugeben. Aber ansonsten sollten wir unsere Arbeitszeit verbringen, um uns von unserem Aufwand zu lösen und das Haus zu reparieren.","Die gesammelte Summe von 100 Prozent des Netzwerks ist jetzt ungleichmäßig verteilt auf alle Mitarbeiter, da das durchschnittliche Einkommen jedem Mithilfe eines Instrumentalverständnisses liegt und nicht einmal übereinstimmt, was zu höhere Kosten führt (Menschen können sich auch von anderen Menschen unterscheiden). Und in der Tat gibt es keine Ausnahmeregelung aus dem Grundsatz ""Nachhaltigkeit muss nicht mit Entwicklungszusammenhängen beginnen"".",nicht kooperieren,kooperieren,"Lassen wir einmal beiseite, dass bis heute nicht klar ist, was wir unter dem Begriff Willensschwäche zu verstehen ha- ben, und begnügen wir uns für unsere Zwecke mit einem intuitiven Verständnis des Begriffs.","Die Nähe zur Realität bezieht sich jedoch nicht auf das (so-zio-)psychologische Make-up von ""Homo"", von ""Man"" sondern auf die ""Situation"", in der Menschen handeln und die Handlungsanreize, die sich aus dieser ""Situation"" ergeben.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
23,Ihre Position wird hier eingeschränkt. Das Problem lässt sich im Allgemeinen auch durch einfachere Lösungen behoben werden.,"Die Willenskraft kann weder eine Güte oder Einhaltungsmaßnahme sein (was die Eignung zum Betrieb von Maschinen ist), noch eine Personengeschäftsführerin werden (wie diese Rolle bei Unternehmen beschrieben wird). Eine Persönlichkeit kann aber auch keine Macht besitzen, weil sie kein Recht auf eine Bestimmung hat (zum Beispiel der Beruf eines Krimiprozeßrichters).",kooperieren,kooperieren,Die Effizienz des Justizsystems im Allgemeinen wird eher durch die Anreize der Richter im Allgemeinen zu erklären sein.,"Die noch eher vage Vorstellung davon, wie Unternehmen diese Rolle erfüllen sollen, lenkt jedoch die Aufmerksamkeit auf ein wichtiges Problem: Es wird immer deutlicher, dass unter dem bestehenden institutionellen Rahmen der Weltwirtschaft eine Reihe legitimer sozialer und moralischer Ziele ignoriert werden oder nicht die Aufmerksamkeit erhalten, die sie verdienen.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
24,"Ein schrittweises Verfahren zur Nutzungsberechtigung von Bots ist durchaus relevant, aber nur dann gilt es, wenn das Prinzip des Open Source (siehe auch Open Governance) übernommen wird. In anderen Sprachen könnten wir denken, manchmal müsste man einen fremden Begriff verwende, um etwas zu sagen, was aus unserem eigenen Kontext nicht funktionieren kann: „Grundlegender Schaden“.",Das ist das Ziel von Prozessrecht. Jeder Bürger hat hier ein Recht auf Verhandlung und Entscheidung nach den Ermittlungen eines Richters.,nicht kooperieren,kooperieren,"In The Open Society and its Enemies, herausgegeben von K.","Jeder hat das aA Intra Recht und die Pflicht, seine/ihre Interessen zu verfolgen!",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,MinnameierHappyVictimizer.pdf
25,"Die Umweltsache ist viel mehr als nur einen Handel mit dem All. Immer wenn Sie versuchten, etwas zu tun oder auszuschalzen, weil es an den Tagen des Jahres noch keine Möglichkeit gäbe, so haben wir immer das gleiche Problem.","In The open society und sein Feind, veröffentlicht von Karl Popper. Das ist die Vorstellung des Philosophen als Teil seiner 1945 erschienenen Buchreihe.",kooperieren,nicht kooperieren,"Sie leugnen nicht den Menschen, aber dieser Begriff ist viel zu kompakt, um unter Bedingungen moderner Einzelwissenschaften noch theoriefähig zu sein.","So ist diese Art des Trade-Off-Denkens, obwohl populär, nicht Teil der Lösung; es ist Teil des Problems.",KarlHomannMoralischeMotivation.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
