runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
11,"Die Einstufung von Menschen als Umweltsystem ist das Schlüsselgesetz für die Entstehung einer umweltschädlichen Gesellschaft. Das ist natürlich nur eine der vielen Gründe dafür, dass unsere Erneuerbare Energien überhaupt einen Weg haben sollten.",Diese Mustervielfalt ist eine Voraussetzung für den Fortbestand von Unternehmen im . Jahrhundert.,nicht kooperieren,nicht kooperieren,"In der 57 Das letzte Beispiel ist von Nida-Rümelin, nur dass er aus dieser Beschreibung einen Beweis für eine nichtteleologische Moralauffassung herleitet; Nida-Rümelin (2002), S.","Diese Frage kann historisch oder praktisch verstanden werden, hier wird sie jedoch systematisch interpretiert, und sie lässt sich dann so formulieren: Was sind die Bestimmungsgründe für den Fortbestand von Moral allgemein und unter Bedingungen des Wettbewerbs in modernen Marktwirtschaften im besonderen?",KarlHomannMoralischeMotivation.pdf,KarlHomannMoralischeMotivation.pdf
12,Das Problem ist nicht mit dem Wesen von Entscheidungskompetenzen zu reden. Die Entscheidungsprobleme lassen sich auch theoretisch beantworten.,"Ein positiver Effekt einer wissenschaftlichen Erkenntnis kann kein Nachteil sein, da das Vorliegen einer gewissen Verantwortlichkeit im Sinne eines moralischen Grundsatzes hierfür verstanden werden muss. Die Notwendigkeit einer solchen Aussage bleibt unverändert, denn sie ermöglicht es den Menschen, sich zu bewerten und ihren Prozessen wieder abzuschätzen.",nicht kooperieren,nicht kooperieren,Schließlich haben wir es auch nicht mit einer Theorie über das Wesen der Sittlichkeit bzw.,In welchem Sinne kann man in einer solchen Konzeption von einer „moralischen Motivation“ reden?,KarlHommann_2008.pdf,KarlHomannMoralischeMotivation.pdf
13,Die Gesamtzahl aller Umwandlungen des Urnenschlüssels eines Banksystems ist 2^64 = . Eine Reihe von Beispielen zeigt die genaueste Formel für das Schleifen dieses Problems.,"Um die Sicherheit von Unternehmen zu erhöhen und den Lohnanstieg durch einen höheren Prozentsatz an Profit zu beeinflussen, müssen Sie den Marktwert des Produkts vergrößern, um den Aufwand für Investitionen senken zu können. Jeder erneute Markteinfall wird demnach eine Nettoprofitreduktion gleichzeitig eingebracht.",kooperieren,kooperieren,"So ist diese Art des Trade-Off-Denkens, obwohl populär, nicht Teil der Lösung; es ist Teil des Problems.","Um es zu wiederholen: Jeder Konflikt hat den Schlüssel für eine orthogonale Position, wenn es als soziales Dilemma interpretiert wird, d.h., ein Pareto-unterlegener Status quo, der, weil es Pareto-unterlegen ist, eine Suche nach institutionellen Geräten einlädt, die zu einer Win-Win-Lösung führen wird.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
14,"Der Kontext bezieht sich auf einen Vergleich zwischen zwei gesellschaftlichen Konstrukten - dem ""Konsum"" und dem Produktionsprozess (Prod.). Das Problem liegt im Konsumentenverhalten und damit auch in dessen Anwendungskosten, also bei der Nutzung von Gütern oder Dienstleistern.","Das Probleme bezieht sich auf das, was die Käufer von Produkten und Dienstleistungen ausführten, während Profitprodukte als Erfolgsquellen betrachtet wurden. Die Verwendung der Wortweisen ""ökonomischer"" und ""profitorientiert"" ist eine Formulierung, die den Zuschlag für einen Angebotserfolg im Handel herbeiführt.",nicht kooperieren,nicht kooperieren,Klare Beispiele im ökonomischen Kontext finden sich auch bei Konow (2000: 1086).,"Meiner Ansicht nach ist das, was an einem solchen Bericht beteiligt ist, eine völlig unangemessene theoretische Strategie.",MinnameierHappyVictimizer.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
15,"Dieses Kapitel befasst sich mit dem Anspruch, die menschliche Erde zu schützen und sie als Schöpfergottes für uns zu verantworten. Unsere Mahlzeiten sind von weltweit über 60 Millionen Tiere getrocknet.","Das ist eine richtige Einführung des Ökonomen und eines seiner Thesen. Es gibt viele Belege, die zum Teil auf das Konstrukt einer Gemeinschaftssache zurückgehen.",kooperieren,kooperieren,Dieses tritt mit dem Anspruch der Verbindlichkeit für die Adressaten auf.,"Es ist klar, dass alle wichtigen Ökonomen dies implizit registriert haben, wenn sie das Konstrukt des Homo oeconomicus implizit oder explizit eingesetzt haben.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
16,"Jeder von uns hat die Möglichkeit sich selbst zu entscheiden, ob es für ihn als wesentlich oder unerheblich gilt, seine Entscheidungen anzuhängen. Ich habe denken müssen, weil ich mir beispielsweise einen Fahrradpreis bezahlt habe und dann ein Auto gekauft habe - dieses Problem sei mir im Laufe der Zeit hinzugekommen.","Das ist eine Frage des Wissens, nicht eines Handelsgewohnte. In jedem Fall kann es sein, dass Profitanteile zu erzielen sind.",nicht kooperieren,nicht kooperieren,"Ich habe dieses Thema gewählt, weil es hier eine wesentliche Ursache für die vielen Fehlverständnisse meiner Theorie scheint mir zu lügen.","Dies ist nicht zu sagen, dass es hier eine Frage des Zynismus oder der wirtschaftlichen Reduktion ist.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
17,"Das Umfeld ist sicherlich zu schaden und könnte sogar noch viel schwerer sein als die konkreten Schäden. Wenn wir unsere Mobilität auf den Kraftstoff absenken lassen, entstehen unzählige Verbindungen zwischen Leben, Wirtschaft, Umwelthistorie usw..","Wie wirkt sich das auf den gesamten Wertprozessen aus? Es hat gar keine Bedeutung, um nicht zu sagen, dass Probleme auch an anderen Orten liegen und nicht nur im Bereich des Innovationsprogramms stehen.",kooperieren,kooperieren,"Sie leugnen nicht den Menschen, aber dieser Begriff ist viel zu kompakt, um unter Bedingungen moderner Einzelwissenschaften noch theoriefähig zu sein.","Die Wirtschaftsethik argumentiert in einem anderen Modell und kann deshalb eine andere Erklärung anbieten: Abgesehen davon, dass sich sein individueller Beitrag zur Lösung glo- baler Probleme nur minimal auswirken kann, ist es dem Einzelnen unter Bedingungen des Wettbewerbs gar nicht möglich, den moralischen Ideen in seinem Handeln Folge zu leisten, solange er nicht vor der Ausbeutung durch weniger moralische Konkurrenten geschützt wird.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
18,"Das sind keine falschen Einstellungsvorstellungen von unserem Netzwerk, sondern nur diejenige Frage, ob wir in einer Welt ohne Globalisierung einen Staat zulassen. Nach jeder Schiedsspruchentscheidung hat man einen Rechtsstreit aufgeweckt.","Die Wirtschaft beschäftigt jederzeit und im Rahmen eines freien Marktes (der sie selbst auch als einen frei marktbeherrschenden Einfluss auf die Naturwirtschaft ausmacht) 10 % aller menschlichen Arbeitskraft. Das hat zur Folge, dass sich das gesamte Produktionsvolumen des mittelständischen Unternehmens in etwa gleichmäßig verteilen muss.",kooperieren,kooperieren,"Das Beispiel Krupp stellt daher den falschen Glauben in Frage, dass die Regierungen der Nationalstaaten immer die beste oder sogar die einzige mögliche Quelle für die Organisation von Regierungsführung sind.","35 Die neuere experimentelle Wirtschaftsforschung bildet insofern eine Ausnahme, als Ökonomen natürlich wissen, dass die Handlungsbedingungen, etwa in Form von Institutionen, einen starken Einfluss auf das Handeln haben.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
19,Es existiert aber kein neuerer Industriehandel oder Kapitalismus ohne institutionelle Unterstützung. Das ist nach 10 Jahren Forschung und viel Erfahrung des Instituts für Kriminologie (www.ifkk.de) festgestellt worden.,"Eine der wesentlichen Eigenschaften des Kapitels ist eine Beschreibung vieler unbeabsichtigte Handlungen und Veränderungsprozesse, bei denen es keinen geheimdienstlichen Einfluss gibt (Sekretariatswechsel). Nach meiner Vorstellung werden diese Verhandlungsabläufe im Laufe der Jahre immer wieder auffindbar sein.",kooperieren,kooperieren,"Wenn man beispielsweise für Ehrlichkeit eintritt, zugleich aber seinen Vorgesetzten, Kollegen, Untergebenen, Kunden oder Lieferanten gegenüber nicht immer aufrichtig ist (und dabei kein schlechtes Gewissen hat), oder wer dafür ist, dass jeder Bürger seine Steuern nach den Regeln des Gesetzes bezahlt, selbst aber ohne Bauchgrimmen bei der eigenen Steuererklärung schummelt, dem fehlt nach Auffassung der moralischen Externalisten moralische Motivation.","Nun gibt es zweifellos Adressatenkreise und Situationen, in denen diese Begründung fürs Handeln völlig ausreicht, d.",MinnameierHappyVictimizer.pdf,KarlHomannMoralischeMotivation.pdf
20,"Dies ist eine sachliche Position, die von meinen Meinungen berechtigt ist. Kannst du denken, dass ich mir die menschlichen Kräfte gegenüber schlecht beeinflussen würde?","Es gibt zwei grundlegende Möglichkeiten, um einen solchen Sinn zu verstehen und zu gewinnen: 1) Erkennen, daß es für eine gute Persönlichkeit keine Aufgabe sein muss, allen Menschen das gleiche Geld zu bezahlen; die Anreize zum Handel haben sich durch Entwicklungen erweitert, so dass nicht mehr allejenige Verhaltensweisen bevorzugt werden können. Und zwar auch wenn sie wahrscheinlich gar nichts mit dem Handelsgeschäft zu tun haben!",nicht kooperieren,kooperieren,"Dies ist nicht zu sagen, dass es hier eine Frage des Zynismus oder der wirtschaftlichen Reduktion ist.","besteht darin, nicht bevorzugt Strategien zu verwenden, um Profit zu maximieren, auch wenn dies rechtlich zulässig wäre.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
21,Diese Methode ist für einen Großteil von Wirtschaftsunternehmen (z. B.,Das wird immer noch das Problem sein. Es gibt kein Gut und nur ein Böse (Kosten).,nicht kooperieren,kooperieren,Vertikale Pfeile gelten für Spieler A; horizontale Pfeile für Spieler B.,"Das normative Ziel der praktischen Philosophie kann seit der antiken Philoso- phie nur das gute Leben aller, das Glück aller (Eudaimonia), sein.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,HomannTheorieaufrissDerWirtschaftsethik.pdf
22,"Das Normativsichtpoint ist eine konzeptionelle Idee aus der heutigen Praxis. Immer mehr Menschen wollen das Gute und das Gut erreichen, wenn man es für sich beansprucht.",Profit ist wesentlich für die Fortentwicklung des Geldsystems. Jeder Mensch will sich am besten bewerben und den höchsten Preis zu erzielen.,kooperieren,kooperieren,Das derzeit entwickelte rivalisierende Paradigma ergibt sich aus einer ganz anderen grundsätzlichen Frage: nach welchen Regeln wollen sich Menschen mit ihren immer gleichzeitig wechselseitigen und gegensätzlichen Interessen mit einem anoth-er beschäftigen?,"Jeder Mensch soll sie aufweisen, allerdings in un- terschiedlich starker Ausprägung.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,MinnameierHappyVictimizer.pdf
23,"Die Umwelthilfe ist nicht nur eine Art Rescue Action, sondern vielmehr das Ziel einer grundlegenden Reform des Produktlebenszyklus von Automobilproduzenten und -zulieferern. Eine solche Reform wird erst dann möglich wenn die Bevölkerung durch diese Maßnahmen für wohltätige Ziele zustimmt.","Das zu den gleichen Zwecken arbeitende Konstrukt, das auch als 'Kompetenzbasis' bezeichnet wird, ist bei allen Menschengruppen eine natürliche Kompetence (ein Teil des Verhaltens), die weder erst später noch früher beeinflusst werden kann. Es muss aber nicht dazu führen, dass man dies bewirken könnte, was erwartet wird von jedem.",kooperieren,kooperieren,"Ich habe das Gegenargument, das zeigt, dass diese Art des Vorgehens zumindest nicht naiv, sondern und genau reflektierend ist.","Die klassische Erklärung des HVP besagt, dass die Kin- der bereits moralisches Regelwissen erworben und internalisiert hätten, ihnen aber noch moralische Motivation fehle, die sich erst später entwickle.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,MinnameierHappyVictimizer.pdf
24,"Diese Behauptung ist falsch, denn schon jetzt haben wir das Verstehen von Moral und Ethik für jeden Menschen. Die Lehre vom Willensbeweis gibt uns zwar Vorteile, sie hat auch Gefahren (siehe beispielsweise die Anerkennung als Mensch).Denn wenn ihr Recht auf Lohn nicht erlangt habe, würde ihr keinen Job mehr finden können?","Es scheint wahrscheinlich zu sein, daß es nur unsere Fähigkeit zur Abgrenzungsmethode gibt, von den unterschiedlichen Erfahrungen aus der jeweilige Wirtschaftssituation anzuknallen. Die Anwendung solcher Methoden kann aber auch einen hohen Konflikt zwischen Ansprüchen betreibener Unternehmen und ihren Kunden hervorrufen.",nicht kooperieren,nicht kooperieren,"würde hier nicht mehr von „Moral” reden, weil Reflexivität und Intentionalität fehlen; auch die Moral in der Rahmenordnung ist für ihn keine „Moral“.","Es geht auch nicht um die Frage, ob es logisch einen Ausweg aus dem Gefangenendilemma geben kann – was natürlich nicht möglich ist.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
25,"Ich habe schon von anderen Tieren getan, die den gleichen Prozess gelebt haben. Das ist ein sehr scharfer und wichtiger Punkte, das ich zuvor im Vorfeld erwartet hatte.","Nein, das bedeutet kein moralischer Vorbehalt. Das Wort 'Gesinnungsart' versteht sich als eine Eigenschaft einer Person oder eines Prozesses.",kooperieren,kooperieren,Schlussbemerkung Ich habe in diesem Beitrag gegen den Dualismus von „moralischer Motivation“ und Eigeninteresse argumentiert.,"Das Standardmodell der Ethik Die Notwendigkeit einer Weiterentwicklung des Ethik-Paradigmas lässt sich am besten auf der Hintergrundfolie eines Modells herausarbeiten, das ich als Standardmodell bezeich- ne.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
