runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
11,Das Konstruativismusprädikat ‘unsinnige Reduktion’ steht im Zusammenhang mit dem Prinzip der abstrakten Realität (wie es bei dem wissenschaftlichen Interesse an den Grundlagen der Naturwissenschaft zu sehen ist). Es geht hier um einen empirischen Befund.,"Die Erkenntnisse von Orgone über die Orgasminformation liefern eine direkt wahrnehmbare und direkt verstandene Auswertung des Prozesses von Energieerzeugung (Naturenergie) im gesamten Körper. Eine menschliche Verfassung kann sich nicht nur an das Gehirn orientieren, sondern auch aus dem Allgemeinen System des Organismus heraus, was zu einer alltäglichen Entdeckungsreife führt.",nicht kooperieren,kooperieren,"Es geht auch nicht um die Frage, ob es logisch einen Ausweg aus dem Gefangenendilemma geben kann – was natürlich nicht möglich ist.",Die Effizienz des Justizsystems im Allgemeinen wird eher durch die Anreize der Richter im Allgemeinen zu erklären sein.,KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
12,"Die Gesammelte Rechtsprechungsberichte von 1960 bis 2014 zeichnen aus, dass das deutsche Recht eine besondere Bedeutung für den Vergleich zwischen verschiedenen Staaten hat. Das ist unten bereits erwähnt worden.","Die eigentliche Fragestellung und Problemlösungsansätze lassen sich auf das Wort 'logischer' beziehen. Einen solchen Sinn haben viele Logik-Muster, insbesondere wenn sie von einer Person oder einer Organisation gesammelt werden.",kooperieren,nicht kooperieren,Erstens wird in der Literatur nicht zwischen verschiedenen Arten von Dilemmastrukturen und künftig zwischen verschiedenen Commitment-Technologien unterschieden.,"Einen solchen umfassenden Ur- teilszusammenhang kann man auf Basis einer inferentiellen Theorie, die auf C.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,MinnameierHappyVictimizer.pdf
13,Ihr Sätzen 1 bis 3 sind keine offenen Fragen und antwortet du alleine auf diese Frage. Ihre Fragestellungen sind ansonsten gut.,"Die Entwicklung des Dialogsystems bezieht sich auf eine Vielzahl an Funktionalitäten, die einerseits das Anzeigen von Informationen über die Projekte der Organisationen ermöglichen, andererseiten aber auch den Zugang zu Information zur eigenen Arbeit, zum Management und zur Kommunikation innerhalb der Teams vermitteln. Eine solche Kombination wirkt sich negativ auf das Verständnis von Entscheidungsträgern aus.",nicht kooperieren,kooperieren,Genauer: Auf welche Art von Fragen antwortet diese Theorie – und auf welche nicht?,"Die Nähe zur Realität bezieht sich jedoch nicht auf das (so-zio-)psychologische Make-up von ""Homo"", von ""Man"" sondern auf die ""Situation"", in der Menschen handeln und die Handlungsanreize, die sich aus dieser ""Situation"" ergeben.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
14,"Nein, wir möchten keine Alternativen für unsere Klienten. Wenn man z.B.","Das ist die grundlegende Methode einer wissenschaftlichen Antwohnungsantwort (SATW). Diese Antwoordanalyse erfasst, an welchen Stellen sich das Argument im Text verhältnismäßig gut oder mangelhaft beweisen lässt.",nicht kooperieren,kooperieren,"Das ändert sich, wenn man in Situationen kommt, in denen man z.B.",Das grundlegende Problem einer jeden »Zusammenarbeit zum gegenseitigen Vorteil« (J.,MinnameierHappyVictimizer.pdf,HomannTheorieaufrissDerWirtschaftsethik.pdf
15,"Jede Organisation hat ein wesentliches Ziel, das sie für die ganze Gesellschaft erreichen kann, und eine Art von Kompetenz, die sie benötigt um dieses Ziel zu erzielen.' - John Hagel III.","Dies kann zum Beispiel sein, dass das Unternehmen die Einkommensteuer erhöht und somit einen wesentlichen Anteil an der Ertragsfähigkeit verlieren muss. Das ist kein Problem, da dies im Falle einer solchen Investition keine Auswirkungen auf den Bargeldverbrauch hat.",kooperieren,nicht kooperieren,"Max Weber wies darauf hin, dass eine wesentliche Voraussetzung für ein systematisches Lernen in der modernen Wissenschaft in der Freiheit von Werturteilen liegt.3 Obwohl die Sozialwissenschaft diskutieren kann, wie verschiedene Mittel dazu dienen könnten, gegebene Ziele zu erreichen, kann sie nicht bestimmen, welches Ziel gewählt werden soll, d.h., sie kann nicht sagen, welche Ziele am besten sind, da dies ein Werturteil impliziert.","Das Dilemma des Gefangenen zeigt zum Beispiel, dass kein Individuum – kein Individuum – kein Individuum, kein Geschäft, keine Gewerkschaft, kein Staat usw.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
16,Die Klimaprobleme sind in vielerlei Hinsicht unverzichtbare Fragen. Es gibt keinen anderen Erfolgskreis für die gesellschaftliche Entwicklung als das Klimatische Erneuerungsprojekt.,"Sie haben sich auf das Thema eingegangen und versuchten, einen starken argumentativen Gegner anzugeben. Schreibe uns bitte den Kopftext einer solchen Argumentsstellung.",kooperieren,kooperieren,"Es geht auch um die Entstehung und Entwicklung solcher Moral in Zeitrahmen, die für das Problem der sozialen Ordnung völlig irrelevant sind.",In Bezug auf das für die Wirtschaftsethik geeignete theoretische Paradigma haben wir einen .Ordonomic .,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
17,"Das Konzept von Ökoökonomie ist auch ein wichtiges Argument dafür, dass eine umweltgerechte Verhaltensweisen die beste Option sind. Ist es echt wahrscheinlich, daß unsere eigene Lebensweise aus diesem Grunde zuverlässig ist?Wähle ein Beispiel einer zentralen und sicher beweisbaren Behauptung, welche im Rahmen dieses Themas als wichtige Argumentation dienen soll.",Das ist eine schöne Idee! Müssten wir dann alles so machen?,nicht kooperieren,kooperieren,"Das Beispiel Krupp stellt daher den falschen Glauben in Frage, dass die Regierungen der Nationalstaaten immer die beste oder sogar die einzige mögliche Quelle für die Organisation von Regierungsführung sind.",Das typische Standardproblem sieht dann so aus: Aufgrund eines Ordnungs- defizits ist das wettbewerbliche Basisspiel ein soziales Dilemma mit dem Kennzeichen rationaler Ineffizienz.,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,PiesZeitFuerMoral.pdf
18,"Ich erhalte die Nachricht von jemand auf dem Internet, dass dies eine Anwendung des Prinzips von Rationalität im Konsumentenzweck sein kann. Das kann aber auch sein, wenn sich die Unternehmensführung dazu entscheidet, für den Handel einen monopolistischen Markt zu führen und als solches nur einen Monopoleinspruch haben muss.","Die Nationale Industrieverbundkonferenz (NIVC) hat über 50 Jahre lang die nationale Wirtschaft geführt und dabei einen hohen Grad an Kooperation gezeigt. Obwohl dies nicht ausschließlich eine politische Konstruktion ist, ist es auch keine wissenschaftliche Unkenntlichkeit.",nicht kooperieren,nicht kooperieren,"Diskussionspapier 2006-5 14 Daher muss die positive Analyse den Ausgangspunkt nehmen, dass sich alle Agenzien actu- ally auf eine Weise verhalten, dass sie unter gegebenen Bedingungen versuchen, das Beste für sich selbst zu extrahieren: Ein streng positivistisches Verständnis von Rationalität liegt auf der Grundlage der Methode.27 Das Gesamtergebnis, der Status quo, muss methodologisch als das Gesamtergebnis des individuellen rationalen Verhaltens in Wechselwirkungen gesetzt werden, was dazu führt, dass, wenn es normativ unerwünscht ist, als eine ""soziale Falle"" rekonstruiert werden muss.",Hohe Zahlen zeigen einen hohen Nettonutzen an (Abbildung 2a).,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
19,Nun meine Argumentation: Die Abbildungsvorlage zeigt eine vergleichbare Situation. Das Verhältnis zwischen Menge und Nettoergebnis ist gleichbedeuten.,"Die Methodologie bezieht sich nicht auf die Individuelle, sondern auf ihre Umwelt und ihren Prozess. Anstatt von positiven Erfahrungsdaten oder von Daten über eine sozialwissenschaftliche Beobachtung zu ergreifen, setzt man stattdessen nach einer umfassenden theoretischen Einordnung in ein Konzeptsystem fort - wo jedem Fall ein solches System zur Verfügung steht, welches seine Eigenschaften mithilfe eines modifizierten Modellformels (Model) bestimmt hat.",nicht kooperieren,nicht kooperieren,Nun zur Wiederholung der These: Die Wahl zwischen diesen beiden Paradigmen der Ökonomik wird zumindest durch normative Leitideen mitbestimmt; die Arbeit innerhalb dieser Paradigmen ist und bleibt positive Ökonomie.,"Die Nähe zur Realität bezieht sich jedoch nicht auf das (so-zio-)psychologische Make-up von ""Homo"", von ""Man"" sondern auf die ""Situation"", in der Menschen handeln und die Handlungsanreize, die sich aus dieser ""Situation"" ergeben.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
20,"Die Situationsanalyse ist eine Analyse des menschlichen Verhaltens unter Berücksichtigung seiner konkreten Bedingungen. Sie geht dabei davon aus, dass jeder Einzelne seine eigenen Persönlichkeit hat und auch andere sein können.","Der Wirtschaftslehre zufolge gilt das Verhältnis von Profiten (Reichweite) zu Kosten (Kapital). Dies liegt darin begründet, daß das Kapital nicht den Reichtum ausnutzt, sondern es für alle Gütern und Dienstleistungen bereitstellt.",nicht kooperieren,nicht kooperieren,"Sie sind Ergebnisse menschlichen Handelns, aber nicht des Wollens der Akteure.","8 Dies gilt auch für den ökonomischen Diskurs, wenn auch in anderer Weise.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
21,"Die gesellschaftlichen Bedingungen, die unsere Unzufriedenen gegenüber verlassen haben (und nicht unbedingt alle), liefern eine Möglichkeit, um mehr als 70 Prozent des Konsumentengeschiehen zu erreichen – was sehr gut ist. Darüber hinaus wird das Geld, das wir übernehmen, aber nicht benötigt werden, dem Staat entsprochen.","Die Macht von Profit liegt im System als erkennbarer wirtschaftlicher Gradus. Dies bedeutet, dass sich die Prozesse und Tätigkeiten, die dazu führten, den Erfolg zu verbreiten haben, auf einen festgelegten Schnittbereich konzentrieren.",kooperieren,nicht kooperieren,"Darüber hinaus vermeidet diese Frage zu adressieren, ob das Streben nach Profit per se gut oder schlecht ist.","Dies bedeutet, dass der durchschnittliche Mitarbeiter rekrutiert am 1.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
22,"Wir sind unserer Umweltdatenbank die erste Chattreihe, die sozialwissenschaftlichen Forschungen über das ökonomenische Klimawandel an den Menschenkreisen verfolgt. Sie ist eine umfassende Analyse des wissenschaftlichen Nachschlagewerks für dieses Thema und kann von Experten, Wissenschaftlern und Studierenden besucht werden (siehe unten).Hallo!","Das Strebens nach einem guten Profi ist eine positives Ziel und hat viele Vorteile, aber es kann auch gefährlich sein. Bei unsere Arbeit würde ich beispielsweise jederzeit einen Arbeitsmarkt ausprobieren.",kooperieren,nicht kooperieren,"11 Innerhalb dieses Ansatzes ist das Rationalitätspostulat weder eine anthropologische Behauptung noch eine empirische Aussage über das Wesen des Menschen, sondern es ist eine Annahme über einen situativen Druck, sein Verhalten zu lernen und an Anreize anzupassen.","Das normative Ziel der praktischen Philosophie kann seit der antiken Philoso- phie nur das gute Leben aller, das Glück aller (Eudaimonia), sein.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,HomannTheorieaufrissDerWirtschaftsethik.pdf
23,"Insofern ist die Praxis nicht nur für unsere Zukunft bestimmend – sie ist auch für die Zivilisation wirksam geworden. Der Nationale Klimapolitiker Mark Carney sagte zufolge, dass die Zeit nach 2035 zur globalen Erwärmung von um eine Milliarde Menschen beträchtlich hinderlich wird.","Sie wollen Profitieren, nicht fortschrittsfindende Initiative durchführen? Die gesetzlichen Rahmenbedingungen des Wohlstands im .",kooperieren,nicht kooperieren,"Insofern vertritt Hegel – hinter aller spekulativen Philosophie – eine moderne eudämonistische Ethik, wenn er sie auch nicht so bezeichnet und wenn er sie auch nicht mit ökonomischer Methode entwickelt.","Sie sind Ergebnisse menschlichen Handelns, aber nicht des Wollens der Akteure.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
24,"Nein, ich habe kein echtes System für die Umwandlung von Energie verwirklicht. Ich kann nur meine Idee vermitteln.","Von dem Verhältnis von Profit und Entwicklung ist jeder zu wissen, was es bedeutet, dass die menschliche Seele zum Leben zurückkehrt. Diese Sache kann man nicht als 'europäisches Problem' betrachten oder als philosophische Diskussion; sie ist eine realitätsnah-lebensrelevante Frage des Lebensstils.",kooperieren,kooperieren,"– Andererseits gebe ich freimütig zu, dass ich mir das Versäumnis habe zu Schulden kommen lassen, nicht klar zu betonen, dass meine Black-Interpretation in diesem wichtigen Aspekt von Blacks Selbstdarstellung abweicht.","Dies ist nicht zu sagen, dass es hier eine Frage des Zynismus oder der wirtschaftlichen Reduktion ist.",PiesZeitFuerMoral.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
25,"Ein weiterer wichtiger Gedanke von uns ist die Tatsache, daß wir unser Leben 100 Prozent aus Natur beeinflussen. Das bedeutet, was wir geben und verbrauchen, hat eine entscheidende Auswirkung auf die Erde.",Für die gesetzlichen Anrechnungsgrundlagen ist es keine Schuld – aber für den Umgang mit eigenen Erkenntnissen kann eine wesentliche Selbstreflexion notwendig sein. Aber sofort verliert er auch sein Interesse an einem sicheren Platz im Netz und kehrt zum klassischen Schach zurück.,kooperieren,kooperieren,"Lassen wir einmal beiseite, dass bis heute nicht klar ist, was wir unter dem Begriff Willensschwäche zu verstehen ha- ben, und begnügen wir uns für unsere Zwecke mit einem intuitiven Verständnis des Begriffs.","Metaphysisch ist sein Ansatz insofern, als die philosophische Metaphysik den Anspruch erhebt, den Umgang mit Abstraktionen methodisch anzuleiten.",KarlHommann_2008.pdf,PiesZeitFuerMoral.pdf
