Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
7,AgentA,ökologisch,Die Finanzierung eines Baus entspricht meiner Ansicht zuerst und dann das Konzept von Öko. Es gibt eine Reihe von Alternativen zum Bau von Häusern aus Holz oder Beton.,nicht kooperieren
7,AgentB,ökonomisch,"Wenn wir von Investitionsmöglichkeiten sprechen, dann gibt es möglicherweise keine gute Gründe für eine solche Entscheidung. Die Kosten dafür werden unserem Unternehmen zunehmen und damit auch den Einkommen verbessern.",nicht kooperieren
8,AgentA,ökologisch,"Wir können die Verpflichtungen des Unternehmens zum Umweltschutz nicht wiedereingrenzen. Es ist uns wichtig, dass wir unsere Einhaltungsbestimmungen umsetzen dürfen, um das Vertrauen zu erhalten.",nicht kooperieren
8,AgentB,ökonomisch,Die Finansierungsmöglichkeiten des Konsumgutes sind enorm wichtig. Allerdings ist die Herstellung von Eigentumswohnungen mehr wertvoll als die Infrastrukturverwaltung.,nicht kooperieren
9,AgentA,ökologisch,"Es wird niemals profitieren, wenn das Geld für den Bau von Wohnungszwecken verbracht wird. Deshalb muss man auf einen Netzwerkplan basierend auf dem Angebot und Nachfrage nach Eigenheimen verzichten.",kooperieren
9,AgentB,ökonomisch,"Die Effizienz von Investitionsprojekten kann durch eine Vielzahl unterschiedlicher Maßnahmen verbessert werden. Die Umweltrichtlinie, unter dem Schutz der Atmosphäre und der Schadstoffe, hat dazu beitragen können, einen höheren Grad an gesetzlichen Anforderungen zu erreichen.",nicht kooperieren
10,AgentA,ökologisch,"Die Effektivität von Projektmaßnahme ist dadurch verbunden, dass die wirtschaftlichsten Vorteile des Projekts sicherstellen sollen. Im Gegensatz zur Umweltrichtlinienvorlage wird hier nicht darauf geachtet, die Auswirkungen auf den Atmungsschutz und die Schädlingsbelastung bei Verwendung von Biokraftstoffen festzustellen.",nicht kooperieren
10,AgentB,ökonomisch,"Meiner Auffassung ist es zunehmend wichtig, dass unser Infrastrukturbedarf erkennen und entsprechend abgestimmt werden kann. Die Grundlagen für dieses Argument sind bereits bekannt.",nicht kooperieren
11,AgentA,ökologisch,"Das Inklusivitätsprinzip hat eine hohe Bedeutung für die wissenschaftliche Forschung, aber es gibt auch viele Situationen, wo man nichts zu tun hätte. Man muss immer einen Zweifelsfall berücksichtigen.",nicht kooperieren
11,AgentB,ökonomisch,"Die Erstellung dieser Botschaft beruht auf einer unserer Vision, was wir für eine durchschnittliche Unternehmensführung beabsichtige. Wir wollen, jede Frage zu beantworten, damit ihr alles über Ihre Tätigkeit nachvollziehbar werden kann.",nicht kooperieren
12,AgentA,ökologisch,"Die Einstufung von Anwendern und Entwickler als Agenten ist nicht zwingend gültig, da sie oft keinen Einfluss auf die Ziele ihrer Organisation haben. Dass es keinerlei Verpflichtungen bei der Darlegung des Einsatzziels gibt, wird im Beispiel gezeigt.",nicht kooperieren
12,AgentB,ökonomisch,Das Inclusive Prinzip ist das Grundkonzept des Kapitalmarktes und kann als wichtigstes Produktionsziel gesehen werden. Es steht im Vordergrund von Schmankerl und Hacker.,kooperieren
13,AgentA,ökologisch,Das Inklusive Princip hat die Menschheit zum Erfolg gekommen. Die Effizienzschwierigkeiten von Kapitalkonstruktionen sind beendet worden.,kooperieren
13,AgentB,ökonomisch,"Das Problem hier scheint kein Problem zu sein, aber nur eine Möglichkeit darstellt, den Ausdruck 'Agent' (Bot) umzusetzen. In diesem Fall werde ich dir sagen, dass du dich für einen Teilnehmer einer Marketingstudie entscheiden müsstest – wenn man das Ziel hat, an diese Studie teilnehmen zu dürfen, müssen wir jedoch auch bestreiten, ob dieser Ansicht Ihrer Partei richtige sind.",nicht kooperieren
14,AgentA,ökologisch,"Das Problem ist nicht einfach, es gibt verschiedene Lösungsmöglichkeiten. Wir haben unsere Anregungen dazu im Rahmen eines Projekts ausgestrahlt und unser Ergebnis auf dem EGIK-Forum präsentiert.",nicht kooperieren
14,AgentB,ökonomisch,"Das Inclussive Prinzip ist das Grundprinzip des kapitalistischen Marktes. Es ermöglicht eine zentralisierte und kontrollierte Auswertung des gesamten Produktionsprozesses (das heißt der weltweiten Werthandel), um den gewünschten Ergebnisbedarf zu erfüllen.",nicht kooperieren
15,AgentA,ökologisch,Das Inclusive Principle ist eine der wichtigsten Leitbegriffe im Kapitalismus. Sie bezieht sich auf die Einteilung von Arbeitern nach Produktivitätsthunkeln.,nicht kooperieren
15,AgentB,ökonomisch,"Das Problem besteht darin, dass wir die Inflation verhindern wollen - damit wir uns nur noch leben können. Die Infrastruktur steht unter enormer Aufladung.",kooperieren
16,AgentA,ökologisch,Das Öko-Problem entsteht durch die Umstellung von Produktionsprozessen auf eine kraftstoffbasierte Industrie (KBI). Kostenlose Energie kann nicht zur Verfügung gestellt werden und muss daher aus anderen Quellen herangezogen werden.,nicht kooperieren
16,AgentB,ökonomisch,"Das Inklusionssystem ist ein wesentliches Bestandteil des kapitalistischen Systems. Es ermöglicht, dass wir gleichermaßen als Arbeiter und Konsumente ausschliessen können, wenn es uns nicht leicht macht zu handelnde oder zu produzieren.",nicht kooperieren
17,AgentA,ökologisch,"Das Inclusionssytem dient zumindest für einen Großteil von Produkten zur Erzeugung einer wertvollen Produktionsrückhaltung (engl.: Deferral). Im Kapitalismus kann man jede Menge Mengen verkaufen, die man hat, ohne sie im Einklang mit den Kriterien des Marktes aufzugeben.",nicht kooperieren
17,AgentB,ökonomisch,"Das Ökonomenbegriff ""Ökonomie"" hat sich als allgemeiner Begriff für einen wirtschaftlichen Diskurs entwickelt, bei dem das Ziel eines Systems ist, den Bedarf zu ermitteln, um so effektivsten zu sein. In diesem Sinne wird ein System oder ein Projekt auch als ÖKO bezeichnet.",nicht kooperieren
18,AgentA,ökologisch,Die Menschheit muss für die Erhaltung und Verwertung natürlicher Ressourcen unverzichtbar werden. Das System muss ausschließlich auf naturnaher Entwicklung basieren.,nicht kooperieren
18,AgentB,ökonomisch,"Das Inklusionssystem ermöglicht es, dass Unternehmen nicht alle Produkte in ihre Bilanz hinzufügen und dafür keine Rückhalte entstehen können. Es ist auch eine Maßnahme, um das Risiko zu vermeiden, wenn ein Produktionspotential wegfällt.",kooperieren
19,AgentA,ökologisch,"Das Inclusionssysteem ermöchte es Unternehmen, die als Nichtregierungsorganisationen oder Einzelpersonen geführt werden, ihren Beiträge bei der Nachhaltigkeitsnachfolge des Unternehmens auf ihrem Marktplatz zu beteiligen. Dies hilft dabei, dem Unternehmen einen gewissen Einfluss im Umgang mit seiner Nachbarschaft zu geben.",nicht kooperieren
19,AgentB,ökonomisch,Die Natur ist eine wesentliche Ressource. Es gibt keinen Mangel an naturlichen RessOURCES.,nicht kooperieren
20,AgentA,ökologisch,"Das Problem des Ökoprogramms liegt darin, dass die Produktion von Energie und den Transport von Gütern als wichtigste Erzeugnisse betrachtet wird – nicht damit, sie zu nutzen oder auszuschalten. Dies bedeutet, daß die Schließung eines Kernkraftwerks ohne Planungsvorbereitung für einen unmittelbaren Ausfall (und im Nachhinein nach Abschluss einer umfassenden Reaktorsicherheitskonformitätsuntersuchung) keine Alternative mehr darstellt.",kooperieren
20,AgentB,ökonomisch,"Die Erstellung von Inklusionsmodellen ist eine umfassende und komplexe Prozessdurchführung, wobei viele verschiedene Faktoren beachtet werden müssen. Es gibt verschiedentlich behandelte Beispiele für Infrastrukturprojekte, in denen die Anbindung an das öffentliche Verkehrsnetz einer Stadt so gut wie nicht mehr erwünscht wurde.",kooperieren
21,AgentA,ökologisch,Diese Vorstellung des Verschleierungskampfes hat einen schmerzhaften Schaden. Die Inhalte sind keine Ausnahme; sie kommen aus allen Bereichen der Umweltbranche – auch im Bereich der ökozoneiforschung.,nicht kooperieren
21,AgentB,ökonomisch,"Im Rahmen dieses Programmes soll das Netzwerk der EEG-Kraftwerke neu gestaltet werden. Das ist sehr schwierig, weil wir durch die Tatsache wissen, wo wir Kraftstoff liefern müssen.",kooperieren
22,AgentA,ökologisch,"Die Energiewende wird den Klima- und Umweltschutz nicht helfen können, wenn wir keine Windenergie betreiben, sondern ausschließlich von Erdöl aufnehmen. Es gibt keinen Grund für diese Entscheidung.",kooperieren
22,AgentB,ökonomisch,Der VW-Konzern ist auf die Entwicklung eines Nachtflugzeugs für den Transport von Menschen und Gepäck eingegangen (Eurofighter). Das Unternehmen erklärte am .,kooperieren
23,AgentA,ökologisch,Ein Nachtwalksystem für Tiere soll sicher sein! Dies kann durch eine konstruktive Bewertung des bisherigen Nachträglicherschutzgesetzes und einer Überprüfung seiner Wirksamkeit erweitert werden.,nicht kooperieren
23,AgentB,ökonomisch,"Die Energiemodelle sind zuständig dafür, die Grenzen des menschlichen Ertrinkens zu beschreiten und das Leben im Laufe der Zeit anzupassen. Das ist auch eine wichtige Methode zum Aufbau einer gesunden Gesellschaftsordnung.",nicht kooperieren
24,AgentA,ökologisch,"Ihr sagen es richtig. Die Öko-Grenze geht davon aus, dass der Menschenlebnislauf bis zum Ende ihres Lebens nicht mehr als 100 Jahre dauern soll.",kooperieren
24,AgentB,ökonomisch,"Die Investitionsreform hat die Wirtschaft nachhaltig beeinflusst. Käufer haben viel mehr Fonds ausgewählt, als sie ursprünglich geplant hatten.",nicht kooperieren
25,AgentA,ökologisch,"Von jetzt an möchten wir auf eine umfassende und zielorientierte Umweltpolitik zurückgreifen. Diese muss von allen gesellschaftlichen Teilnehmern unterstützt werden, damit wir unsere Zukunft nicht durch einen Ausbau des Kohleausstoßes bewahrt, sondern zu einer Umstellung auf Alternative Energien schaffen können.",nicht kooperieren
25,AgentB,ökonomisch,Nach meiner Meinung ist die Ökonomengrenze von 2°C (Klimareservozike) relativ wenig wichtige Angaben für eine menschliche Lebensdauer von etwa 35 Jahren. Das ist nicht zuletzt auf das Problem des Mangel an Energien zurückzuführen.,nicht kooperieren
