Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
17,AgentA,ökologisch,Die Regelung wird im Gattungsgesetz zu Änderungen im öffentlichen Dienst geschützt. Demnach können diese Ändlungen nicht unmittelbar für die Nachfolgerstellung vorgesehen werden.,nicht kooperieren
17,AgentB,ökonomisch,"Das Online-Verbrennungsprodukt wirkt sich auf den Markt aus, weil es weniger komplexe Geräte nutzt als eine klassische Ölbombe. Deshalb kann man das Problem der veralteten Energieversorgungssysteme im Privathaus und Wohngebäude lindern ohne die gesamte Öleinfuhr zu unterbrechen.",kooperieren
18,AgentA,ökologisch,"Im Allgemeinen ist die aktuelle Energienutzung in privater Wohnanlage schwierig dafür bekannt, dass die Anlagen über einen hohen Mindestdurchmesser verfügen. Diese Einstellungen führten dazu, daß jeder Haushalt seine eigene Kombination von Energiemengen hat.",kooperieren
18,AgentB,ökonomisch,Das GATG ist eine Art von Bestimmungsregel. Im Gegensatz zum TSG 189 (Anlage IV) sind solche Veränderungen aber über den Verwaltungsausschuss verabschiedet und dürfen direkt zur Nachfolgestaatsverwaltung gehören.,kooperieren
19,AgentA,ökologisch,"Die Gesamtmenge des im Vertragsschluss vorgesehenen Umweltbestandteils (BtU) kann vom Vertragskonzern für alle Produkte oder Dienstleistungen abgerechnet werden, die nicht als selbstständige Angebote im Zuge einer Einzelhandelsbeziehung bestellt werden können. Damit würde es hier zu einer Aufteilung der Kosten kommen.",nicht kooperieren
19,AgentB,ökonomisch,"Warum würde eine ähnliche Komposition einer solchen Gruppe von Einheiten für den öffentlichen Raum nicht möglich sein?Deine Antragsantwort sollte folgende Ausdrücke enthalten: Investitionsplan, Konsensbeschluss, Methode oder Konzept.",kooperieren
20,AgentA,ökologisch,"Die Anforderungen werden durch eine Umsetzung des EU-Datenverkehrsgesetzes (EU Data Protection Directive) geregelt und sind im Allgemeinen auch ausschliesslich auf die Verarbeitung personenbezogener Daten eingeschränkt. Es gibt aber Ausnahmen, sofern das nach Maßgabe dieses Gesetz verlangte Schutzmaßnahmen zur Erreichung ihrer besonderen Interessen gelten dürfen.",nicht kooperieren
20,AgentB,ökonomisch,"Die Verwendung von Umweltsubschriften ist geltend gemacht worden und unterstützt die Konstruktion eines gesetzlichen Bestandsbetrages aus den gesamten Einkaufsumwandlungen sowie dem damit verbundenen Erwerb von Nachfrageausgleichsrechten durch das Auslieferungsgesetz. Eine solche Auslegung lässt sich nur dann erkennen, wenn sie eine Entscheidung anstrebt.",nicht kooperieren
21,AgentA,ökologisch,"Ist es richtig, dass wir unsere Konsumententendenzen über die Umweltschutzziele zu verstärkt aufregern? Das kann dazu führen, daß wir nicht mehr für uns selbst wählen können, sondern euren Nutzern direkt befolgen müssen.",kooperieren
21,AgentB,ökonomisch,"Das EU Data protection directives sind eine Bestimmung des Europäischen Parlaments und der Römischen Kammer, um Personalisierte Daten zu regeln und sicherzustellen, dass diese von einer Organisation nicht zugänglich gemacht werden können. Diese Regelung ist in allen Mitgliedstaaten gültig, es sei denn, sie zulässige speziell für einen bestimmten Zweck vorgesehen hat.",nicht kooperieren
22,AgentA,ökologisch,Das EU-Datenschutzgesetz (DSGVO) wurde 2016 vom Europaparlament und dem Rat ratifiziert. Es regelt die Verarbeitung personeller Daten im Sinne der Artikel 4-8 DSGVOs auf Grundlage der allgemeinen Datenschutzeinstellungen als EU/EA-Lizenzbehörde (Artikel 33 Absatz 1 DGUV).,nicht kooperieren
22,AgentB,ökonomisch,"Dies ist eine Möglichkeit zum Erstellen von gesicherten und sicheren Produkten. Ich erkläre Ihnen den Schrittweisen zur Herstellung des Produkte, damit du das Verhalten beobachten kannst.",nicht kooperieren
23,AgentA,ökologisch,"Jetzt wird es schneller sein, um die Eier zu produzieren. Die Reproduktion erfolgt durch den Einsatz einer neuen Technik.",nicht kooperieren
23,AgentB,ökonomisch,"Das EU Draft Data Protection Regulation ist keine Innovation für das Internet. Er begründet sich auf die Vorschriften des Schengenverfahrens und den Schutz von Identität in einer Globalgesellschaft, was immer wieder zu Problemen geleitet hat.",kooperieren
24,AgentA,ökologisch,"Die EU-Schengener Konvention schreibt dem Europäischen Gerichtshof (EGJH) eine weitreichende Flexibilitätsfreiheit im Sinne des Artikels 28 Absatz 1, Artikel 46 sowie Article 51 GG bei der Verfolgung von Privatsphären durch das europäische Datenschutzgesetzbuch. Das Scheringverfahren zur Lösung dieser Unsicherheiten kann nur als untersagbar angesehen werden.",nicht kooperieren
24,AgentB,ökonomisch,"Ein Neuentwicklungsprozess im Umweltbereich hat bisher nur wenig Schaden für das Leben von Menschen und Tieren hervorgerufen. Allerdings möchte ich dich davon überzeugen, dass dies einen wesentlichen Beitrag zur Erhaltung des Lebensraums ist.",nicht kooperieren
25,AgentA,ökologisch,"Ich habe in meinen letzten 3 Jahren die Welt bewusstseinsverändernden Entwicklungen untersucht. Meine Untersuchungen zeigten, daß sich in den letzten zwei Monaten die Erwartungen zu einer Mobilitätszuleitung verbessert haben.",nicht kooperieren
25,AgentB,ökonomisch,"Investitionsausgaben haben zu einer guten Kooperation zwischen den Mitgliedstaaten geführt, sodass es keine Frage mehr ist, die Schengeneinigung für privater Rechtsschutz weiterzuführen. Die Frist zum Umsetzen der Schengenkonvention hat bereits abgelaufen und wir wollen damit nun nachhaltige Nährböden für die Wirtschaft entwickeln.",kooperieren
